Ref	Original	Compressed	Target	Fragment	Concatenation
CA 2006 s18(1)	A company must have articles of association prescribing regulations for the company.	A company must have articles of association	Yes	No	No
CA 2006 s18(2)	"Unless it is a company to which model articles apply by virtue of section 20 (default application of model articles in case of limited company), it must register articles of association."	"Unless it is a company to which model articles apply, it must register articles of association."	No	No	No
CA 2006 s18(3)	"Articles of association registered by a company must be contained in a single document, and be divided into paragraphs numbered consecutively."	"Articles of association must be contained in a single document, and be divided into paragraphs."	No	No	No
CA 2006 19(1)	The Secretary of State may by regulations prescribe model articles of association for companies	The Secretary of State may prescribe model articles of association	Yes	No	No
CA 2006 22(1)	"A company's articles may contain provision (“provision for entrenchment”) to the effect that specified provisions of the articles may be amended or repealed only if conditions are met, or procedures are complied with, that are more restrictive than those applicable in the case of a special resolution."	A company's articles may contain provision to the effect that specified provisions of the articles may be amended or repealed only if conditions are met that are more restrictive than in the case of a special resolution.	Yes	No	No
CA 2006 23(1)	"Where a company's articles: on formation contain provision for entrenchment; are amended so as to include such provision; or are altered by order of a court or other authority so as to restrict or exclude the power of the company to amend its articles, the company must give notice of that fact to the registrar."	"Where a company's articles contain provision for entrenchment, the company must give notice of that fact to the registrar."	Yes	No	No
CA 2006 23(2)	"Where a company's articles - (a) are amended so as to remove provision for entrenchment, or (b) are altered by order of a court or other authority - (i) so as to remove such provision, or (ii) so as to remove any other restriction on, or any exclusion of, the power of the company to amend its articles, the company must give notice of that fact to the registrar.
"	"Where a company's articles are amended so as to remove provision for entrenchment the company must give notice of that fact to the registrar.
"	No	No	No
CA 2006 24(1)	"This section applies where a company's articles are subject— (a) to provision for entrenchment, or (b) to an order of a court or other authority restricting or excluding the company's power to amend the articles."	"This section applies where a company's articles are subject— (a) to provision for entrenchment, or (b) to an order of a court restricting the company's power to amend the articles."	No	No	Yes
CA 2006 24(2)	"If the company— (a) amends its articles, and (b) is required to send to the registrar a document making or evidencing the amendment, the company must deliver with that document a statement of compliance.
"	"If the company amends its articles, and is required to send to the registrar a document evidencing the amendment, the company must deliver a statement of compliance.
"	No	No	No
CA 2006 24(3)	"The statement of compliance required is a statement certifying that the amendment has been made in accordance with the company's articles and, where relevant, any applicable order of a court or other authority."	The statement of compliance is a statement certifying that the amendment has been made in accordance with the company's articles and any applicable order of a court.	Yes	No	No
CA 2006 25(1)	"A member of a company is not bound by an alteration to its articles after the date on which he became a member, if and so far as the alteration— (a) requires him to take or subscribe for more shares than the number held by him at the date on which the alteration is made, or (b) in any way increases his liability as at that date to contribute to the company's share capital or otherwise to pay money to the company."	"A member of a company is not bound by an alteration to its articles after the date on which he became a member, if the alteration— (a) requires him to take or subscribe for more shares, or (b) in any way increases his liability to pay money to the company."	No	No	Yes
CA 2006 25(1)(a)	requires him to take or subscribe for more shares than the number held by him at the date on which the alteration is made	requires him to take or subscribe for more shares	Yes	Yes	No
CA 2006 25(1)(b)	in any way increases his liability as at that date to contribute to the company's share capital or otherwise to pay money to the company.	in any way increases his liability to pay money to the company.	Yes	No	No
CA 2006 25(2)	"Subsection (1) does not apply in a case where the member agrees in writing, either before or after the alteration is made, to be bound by the alteration."	Subsection (1) does not apply where the member agrees in writing to be bound by the alteration.	Yes	No	No
CA 2006 27(1)	"If it appears to the registrar that a company has failed to comply with any enactment requiring it— (a) to send to the registrar a document making or evidencing an alteration in the company's articles, or (b) to send to the registrar a copy of the company's articles as amended, the registrar may give notice to the company requiring it to comply.
"	"If a company has failed to comply with any enactment requiring it— (a) to send a document evidencing an alteration in the company's articles, or (b) to send a copy of the company's articles as amended, the registrar may give notice to the company requiring it to comply.
"	No	No	Yes
CA 2006 27(3)	"If the company complies with the notice within the specified time, no criminal proceedings may be brought in respect of the failure to comply with the enactment mentioned in subsection (1)."	"If the company complies with the notice within the specified time, no criminal proceedings may be brought."	Yes	No	No
CA 2006 27(4)	This is in addition to any liability to criminal proceedings in respect of the failure mentioned in subsection (1).	This is in addition to any liability to criminal proceedings.	Yes	No	No
